Month,VendorID,VendorName,CertificationType,CertExpiryDate,IsCompliant,Client,Sector,Region,Spend,PerformanceScore
2025-02-01,V1020,Zenith Airparts,VOB,2026-02-01,1,Client 017,Aviation,Midwest,20072.22,87.8
2025-02-01,V1020,Zenith Airparts,VOB,2025-01-02,0,Client 006,Aviation,Midwest,19738.96,91.8
2025-02-01,V1022,Beacon Financial Services,SME,2025-04-02,1,Client 022,Aviation,Southeast,20667.53,79.3
2025-02-01,V1023,Elevate Construction Supply,DOBE,2025-01-02,0,Client 008,Finance,West,19042.81,75.3
2025-02-01,V1023,Elevate Construction Supply,DOBE,2026-02-01,1,Client 019,Finance,West,5996.45,90.3
2025-02-01,V1023,Elevate Construction Supply,DOBE,2025-01-02,0,Client 020,Finance,West,9152.64,76.0
2025-02-01,V1024,Momentum Facility Services,SME,2025-06-01,1,Client 019,Finance,Southeast,31648.42,88.3
2025-02-01,V1024,Momentum Facility Services,SME,2025-04-02,1,Client 017,Finance,Southeast,8230.24,86.2
2025-02-01,V1024,Momentum Facility Services,SME,2026-06-16,1,Client 011,Finance,Southeast,8064.22,78.5
2025-02-01,V1025,Crestline Consulting,MBE,2025-08-20,1,Client 009,Healthcare,Southeast,30086.18,83.1
2025-02-01,V1026,Waypoint Logistics,VOB,2025-01-02,0,Client 010,Finance,West,16960.38,96.6
2025-02-01,V1026,Waypoint Logistics,VOB,2025-01-02,0,Client 015,Finance,West,4761.59,84.7
2025-02-01,V1026,Waypoint Logistics,VOB,2025-08-20,1,Client 011,Finance,West,6772.74,88.9
2025-02-01,V1027,Northgate Industrial,MBE,2025-04-02,1,Client 004,Finance,Southeast,15319.39,90.9
2025-02-01,V1027,Northgate Industrial,MBE,2026-02-01,1,Client 003,Finance,Southeast,8390.57,72.9
2025-02-01,V1027,Northgate Industrial,MBE,2025-06-01,1,Client 018,Finance,Southeast,7791.95,80.9
2025-02-01,V1028,Argus Health Products,WBE,2025-06-01,1,Client 003,Manufacturing,West,19020.73,88.1
2025-02-01,V1028,Argus Health Products,WBE,2025-06-01,1,Client 008,Manufacturing,West,19802.91,78.5
2025-02-01,V1029,Pioneer Fabricators,DOBE,2026-06-16,1,Client 023,Finance,Southeast,17525.97,75.9
2025-02-01,V1029,Pioneer Fabricators,DOBE,2026-02-01,1,Client 010,Finance,Southeast,29973.42,93.5
2025-02-01,V1029,Pioneer Fabricators,DOBE,2025-01-02,0,Client 020,Finance,Southeast,4915.69,77.5
2025-03-01,V1000,Summit Supply Co,MBE,2025-04-30,1,Client 010,Finance,Northeast,20828.56,87.1
2025-03-01,V1000,Summit Supply Co,MBE,2025-06-29,1,Client 022,Finance,Northeast,23962.36,100.0
2025-03-01,V1000,Summit Supply Co,MBE,2025-01-30,0,Client 004,Finance,Northeast,39053.83,92.9
2025-03-01,V1002,BlueRiver Logistics,MBE,2025-06-29,1,Client 009,Healthcare,Southwest,13213.88,91.1
2025-03-01,V1003,Novaline Systems,SME,2026-07-14,1,Client 011,Healthcare,West,18911.97,78.2
2025-03-01,V1003,Novaline Systems,SME,2025-06-29,1,Client 007,Healthcare,West,64360.33,70.1
2025-03-01,V1003,Novaline Systems,SME,2026-03-01,1,Client 022,Healthcare,West,12200.91,85.6
2025-03-01,V1004,Cascade Manufacturing,MBE,2026-07-14,1,Client 003,Aviation,Northeast,11639.48,93.7
2025-03-01,V1005,Pinnacle Health Supply,WBE,2025-06-29,1,Client 002,Healthcare,Southwest,44218.23,86.0
2025-03-01,V1005,Pinnacle Health Supply,WBE,2025-04-30,1,Client 001,Healthcare,Southwest,9324.42,86.7
2025-03-01,V1006,Meridian Aviation Parts,SME,2025-09-17,1,Client 006,Manufacturing,Southeast,66625.58,99.7
2025-03-01,V1006,Meridian Aviation Parts,SME,2026-03-01,1,Client 024,Manufacturing,Southeast,2175.42,86.5
2025-03-01,V1007,Union Fabrication,WBE,2026-07-14,1,Client 001,Finance,West,11905.6,71.6
2025-03-01,V1007,Union Fabrication,WBE,2025-04-30,1,Client 004,Finance,West,23805.95,91.9
2025-03-01,V1007,Union Fabrication,WBE,2026-03-01,1,Client 003,Finance,West,13016.04,82.5
2025-03-01,V1008,Solstice Consulting,MBE,2025-04-30,1,Client 019,Manufacturing,Southeast,49201.61,88.2
2025-03-01,V1008,Solstice Consulting,MBE,2025-09-17,1,Client 018,Manufacturing,Southeast,21879.52,98.2
2025-03-01,V1009,Ironclad Materials,VOB,2025-06-29,1,Client 012,Aviation,Midwest,4187.04,81.1
2025-03-01,V1009,Ironclad Materials,VOB,2025-04-30,1,Client 002,Aviation,Midwest,14046.75,100.0
2025-03-01,V1010,Harbor Tech Solutions,WBE,2026-03-01,1,Client 004,Healthcare,Midwest,153.84,76.8
2025-03-01,V1010,Harbor Tech Solutions,WBE,2025-09-17,1,Client 012,Healthcare,Midwest,2271.8,74.6
2025-03-01,V1010,Harbor Tech Solutions,WBE,2026-03-01,1,Client 025,Healthcare,Midwest,11949.19,86.0
2025-03-01,V1011,Redwood Facilities Group,MBE,2025-04-30,1,Client 006,Healthcare,West,17529.76,100.0
2025-03-01,V1013,Brightpath Staffing,MBE,2026-07-14,1,Client 011,Healthcare,West,7390.42,88.7
2025-03-01,V1013,Brightpath Staffing,MBE,2025-04-30,1,Client 014,Healthcare,West,14431.46,85.5
2025-03-01,V1013,Brightpath Staffing,MBE,2025-06-29,1,Client 022,Healthcare,West,18234.86,90.3
2025-03-01,V1014,Continental Machine Works,DOBE,2025-09-17,1,Client 004,Finance,Northeast,10314.49,100.0
2025-03-01,V1014,Continental Machine Works,DOBE,2025-04-30,1,Client 013,Finance,Northeast,15001.86,89.7
2025-03-01,V1014,Continental Machine Works,DOBE,2025-04-30,1,Client 002,Finance,Northeast,11500.43,86.7
2025-03-01,V1016,Silverline Logistics,MBE,2026-07-14,1,Client 008,Aviation,Northeast,10545.08,91.8
2025-03-01,V1016,Silverline Logistics,MBE,2025-04-30,1,Client 001,Aviation,Northeast,31435.74,96.6
2025-03-01,V1017,TrueNorth Manufacturing,VOB,2025-06-29,1,Client 003,Aviation,Northeast,28908.5,90.0
2025-03-01,V1017,TrueNorth Manufacturing,VOB,2025-06-29,1,Client 025,Aviation,Northeast,24538.56,79.3
2025-03-01,V1018,Coastal Medical Supply,MBE,2025-06-29,1,Client 022,Finance,West,16544.3,85.9
2025-03-01,V1018,Coastal Medical Supply,MBE,2025-01-30,0,Client 018,Finance,West,9841.63,94.3
2025-03-01,V1019,Granite Industrial Services,DOBE,2025-06-29,1,Client 006,Aviation,Midwest,14262.96,93.8
2025-03-01,V1019,Granite Industrial Services,DOBE,2025-01-30,0,Client 019,Aviation,Midwest,12266.76,87.1
2025-03-01,V1020,Zenith Airparts,VOB,2025-06-29,1,Client 012,Aviation,Midwest,38508.26,85.2
2025-03-01,V1020,Zenith Airparts,VOB,2025-09-17,1,Client 024,Aviation,Midwest,14026.76,91.8
2025-03-01,V1021,Fusion Metalworks,VOB,2025-04-30,1,Client 004,Aviation,Northeast,21109.62,84.0
2025-03-01,V1021,Fusion Metalworks,VOB,2025-06-29,1,Client 013,Aviation,Northeast,52991.57,93.5
2025-03-01,V1021,Fusion Metalworks,VOB,2025-01-30,0,Client 019,Aviation,Northeast,7217.47,75.3
2025-03-01,V1022,Beacon Financial Services,SME,2026-03-01,1,Client 017,Aviation,Southeast,28170.04,90.3
2025-03-01,V1023,Elevate Construction Supply,DOBE,2025-06-29,1,Client 024,Finance,West,16649.86,77.8
2025-03-01,V1023,Elevate Construction Supply,DOBE,2025-09-17,1,Client 022,Finance,West,49327.0,89.9
2025-03-01,V1023,Elevate Construction Supply,DOBE,2025-01-30,0,Client 007,Finance,West,39639.33,87.0
2025-03-01,V1026,Waypoint Logistics,VOB,2026-03-01,1,Client 004,Finance,West,11305.64,89.5
2025-03-01,V1026,Waypoint Logistics,VOB,2025-06-29,1,Client 024,Finance,West,29975.13,73.4
2025-03-01,V1026,Waypoint Logistics,VOB,2026-07-14,1,Client 010,Finance,West,4755.98,79.7
2025-03-01,V1027,Northgate Industrial,MBE,2026-03-01,1,Client 023,Finance,Southeast,39687.96,87.5
2025-03-01,V1027,Northgate Industrial,MBE,2025-04-30,1,Client 010,Finance,Southeast,42255.01,82.6
2025-03-01,V1028,Argus Health Products,WBE,2025-04-30,1,Client 013,Manufacturing,West,16743.96,87.6
2025-03-01,V1028,Argus Health Products,WBE,2026-03-01,1,Client 022,Manufacturing,West,8542.91,88.9
2025-03-01,V1028,Argus Health Products,WBE,2026-03-01,1,Client 024,Manufacturing,West,17916.68,90.5
2025-03-01,V1029,Pioneer Fabricators,DOBE,2025-09-17,1,Client 001,Finance,Southeast,12333.63,85.6
2025-03-01,V1029,Pioneer Fabricators,DOBE,2026-03-01,1,Client 010,Finance,Southeast,32027.45,85.8
2025-03-01,V1029,Pioneer Fabricators,DOBE,2026-03-01,1,Client 007,Finance,Southeast,8974.75,100.0
2025-04-01,V1000,Summit Supply Co,MBE,2025-05-31,1,Client 015,Finance,Northeast,22306.52,100.0
2025-04-01,V1000,Summit Supply Co,MBE,2026-04-01,1,Client 022,Finance,Northeast,9020.66,84.1
2025-04-01,V1001,Vertex Industrial,WBE,2025-07-30,1,Client 006,Aviation,Southeast,31891.61,78.3
2025-04-01,V1001,Vertex Industrial,WBE,2026-04-01,1,Client 022,Aviation,Southeast,10454.94,93.3
2025-04-01,V1001,Vertex Industrial,WBE,2026-08-14,1,Client 003,Aviation,Southeast,2924.71,87.7
2025-04-01,V1002,BlueRiver Logistics,MBE,2025-05-31,1,Client 003,Healthcare,Southwest,52041.34,89.6
2025-04-01,V1002,BlueRiver Logistics,MBE,2026-08-14,1,Client 025,Healthcare,Southwest,31782.67,74.4
2025-04-01,V1003,Novaline Systems,SME,2025-03-02,0,Client 005,Healthcare,West,50881.74,84.4
2025-04-01,V1004,Cascade Manufacturing,MBE,2025-03-02,0,Client 020,Aviation,Northeast,13563.17,71.3
2025-04-01,V1004,Cascade Manufacturing,MBE,2025-10-18,1,Client 025,Aviation,Northeast,39552.04,87.2
2025-04-01,V1005,Pinnacle Health Supply,WBE,2026-08-14,1,Client 019,Healthcare,Southwest,20465.62,72.2
2025-04-01,V1005,Pinnacle Health Supply,WBE,2025-10-18,1,Client 007,Healthcare,Southwest,10455.1,87.1
2025-04-01,V1005,Pinnacle Health Supply,WBE,2025-10-18,1,Client 023,Healthcare,Southwest,20798.76,85.0
2025-04-01,V1006,Meridian Aviation Parts,SME,2026-08-14,1,Client 021,Manufacturing,Southeast,17384.34,82.5
2025-04-01,V1007,Union Fabrication,WBE,2025-10-18,1,Client 025,Finance,West,3810.54,86.0
2025-04-01,V1008,Solstice Consulting,MBE,2026-04-01,1,Client 017,Manufacturing,Southeast,23952.87,93.5
2025-04-01,V1008,Solstice Consulting,MBE,2025-05-31,1,Client 015,Manufacturing,Southeast,43774.14,87.7
2025-04-01,V1008,Solstice Consulting,MBE,2025-03-02,0,Client 002,Manufacturing,Southeast,9174.75,85.9
2025-04-01,V1009,Ironclad Materials,VOB,2026-04-01,1,Client 022,Aviation,Midwest,44004.86,100.0
2025-04-01,V1009,Ironclad Materials,VOB,2026-04-01,1,Client 017,Aviation,Midwest,48947.5,76.8
2025-04-01,V1010,Harbor Tech Solutions,WBE,2026-04-01,1,Client 020,Healthcare,Midwest,13703.6,90.2
2025-04-01,V1010,Harbor Tech Solutions,WBE,2025-10-18,1,Client 024,Healthcare,Midwest,39874.09,81.5
2025-04-01,V1012,Falcon Aerospace Supply,VOB,2025-10-18,1,Client 024,Finance,Midwest,12932.6,93.5
2025-04-01,V1013,Brightpath Staffing,MBE,2025-07-30,1,Client 021,Healthcare,West,3126.19,92.1
2025-04-01,V1015,Apex Diversity Partners,SME,2025-03-02,0,Client 008,Aviation,Midwest,15170.19,97.0
2025-04-01,V1015,Apex Diversity Partners,SME,2026-08-14,1,Client 009,Aviation,Midwest,17727.66,92.9
2025-04-01,V1015,Apex Diversity Partners,SME,2025-07-30,1,Client 015,Aviation,Midwest,21203.32,71.4
2025-04-01,V1016,Silverline Logistics,MBE,2025-03-02,0,Client 011,Aviation,Northeast,16126.18,85.0
2025-04-01,V1016,Silverline Logistics,MBE,2025-05-31,1,Client 018,Aviation,Northeast,22260.39,74.6
2025-04-01,V1017,TrueNorth Manufacturing,VOB,2026-08-14,1,Client 023,Aviation,Northeast,26453.18,76.2
2025-04-01,V1017,TrueNorth Manufacturing,VOB,2025-05-31,1,Client 005,Aviation,Northeast,23538.37,84.5
2025-04-01,V1018,Coastal Medical Supply,MBE,2025-10-18,1,Client 011,Finance,West,31494.24,81.4
2025-04-01,V1018,Coastal Medical Supply,MBE,2025-10-18,1,Client 018,Finance,West,11603.51,80.8
2025-04-01,V1019,Granite Industrial Services,DOBE,2026-04-01,1,Client 013,Aviation,Midwest,8814.9,73.5
2025-04-01,V1019,Granite Industrial Services,DOBE,2026-08-14,1,Client 025,Aviation,Midwest,14553.19,100.0
2025-04-01,V1020,Zenith Airparts,VOB,2025-07-30,1,Client 013,Aviation,Midwest,17237.35,89.1
2025-04-01,V1020,Zenith Airparts,VOB,2025-07-30,1,Client 016,Aviation,Midwest,36392.53,84.1
2025-04-01,V1020,Zenith Airparts,VOB,2025-10-18,1,Client 001,Aviation,Midwest,14226.73,79.1
2025-04-01,V1023,Elevate Construction Supply,DOBE,2025-05-31,1,Client 024,Finance,West,24980.74,82.8
2025-04-01,V1023,Elevate Construction Supply,DOBE,2025-10-18,1,Client 018,Finance,West,1415.43,80.0
2025-04-01,V1023,Elevate Construction Supply,DOBE,2025-05-31,1,Client 020,Finance,West,1691.06,89.6
2025-04-01,V1024,Momentum Facility Services,SME,2025-07-30,1,Client 001,Finance,Southeast,20925.22,77.2
2025-04-01,V1024,Momentum Facility Services,SME,2026-08-14,1,Client 013,Finance,Southeast,17796.42,72.1
2025-04-01,V1025,Crestline Consulting,MBE,2025-10-18,1,Client 024,Healthcare,Southeast,19428.11,83.5
2025-04-01,V1025,Crestline Consulting,MBE,2025-05-31,1,Client 006,Healthcare,Southeast,16219.17,79.8
2025-04-01,V1027,Northgate Industrial,MBE,2025-03-02,0,Client 019,Finance,Southeast,6701.49,86.7
2025-04-01,V1027,Northgate Industrial,MBE,2025-03-02,0,Client 022,Finance,Southeast,30668.18,84.9
2025-04-01,V1028,Argus Health Products,WBE,2025-05-31,1,Client 015,Manufacturing,West,42359.43,100.0
2025-04-01,V1029,Pioneer Fabricators,DOBE,2025-10-18,1,Client 011,Finance,Southeast,32617.64,76.7
2025-04-01,V1029,Pioneer Fabricators,DOBE,2025-07-30,1,Client 007,Finance,Southeast,14566.53,96.2
2025-05-01,V1000,Summit Supply Co,MBE,2025-11-17,1,Client 009,Finance,Northeast,5293.61,73.8
2025-05-01,V1000,Summit Supply Co,MBE,2025-08-29,1,Client 025,Finance,Northeast,24716.8,81.3
2025-05-01,V1002,BlueRiver Logistics,MBE,2025-06-30,1,Client 018,Healthcare,Southwest,10218.33,80.3
2025-05-01,V1002,BlueRiver Logistics,MBE,2026-09-13,1,Client 002,Healthcare,Southwest,8258.16,65.0
2025-05-01,V1002,BlueRiver Logistics,MBE,2025-04-01,0,Client 012,Healthcare,Southwest,26703.09,83.1
2025-05-01,V1004,Cascade Manufacturing,MBE,2025-06-30,1,Client 008,Aviation,Northeast,7928.92,86.9
2025-05-01,V1006,Meridian Aviation Parts,SME,2025-11-17,1,Client 005,Manufacturing,Southeast,20393.53,89.0
2025-05-01,V1007,Union Fabrication,WBE,2025-08-29,1,Client 007,Finance,West,7418.58,100.0
2025-05-01,V1007,Union Fabrication,WBE,2025-08-29,1,Client 015,Finance,West,45621.26,79.7
2025-05-01,V1007,Union Fabrication,WBE,2025-06-30,1,Client 023,Finance,West,24838.35,87.2
2025-05-01,V1008,Solstice Consulting,MBE,2025-06-30,1,Client 023,Manufacturing,Southeast,610.77,87.1
2025-05-01,V1008,Solstice Consulting,MBE,2025-08-29,1,Client 004,Manufacturing,Southeast,7953.15,75.9
2025-05-01,V1008,Solstice Consulting,MBE,2025-04-01,0,Client 025,Manufacturing,Southeast,20312.0,79.8
2025-05-01,V1009,Ironclad Materials,VOB,2025-11-17,1,Client 019,Aviation,Midwest,17389.6,80.2
2025-05-01,V1009,Ironclad Materials,VOB,2025-11-17,1,Client 022,Aviation,Midwest,27989.46,89.2
2025-05-01,V1011,Redwood Facilities Group,MBE,2025-04-01,0,Client 023,Healthcare,West,41491.27,70.8
2025-05-01,V1011,Redwood Facilities Group,MBE,2026-09-13,1,Client 021,Healthcare,West,7032.76,88.0
2025-05-01,V1011,Redwood Facilities Group,MBE,2025-08-29,1,Client 008,Healthcare,West,10413.83,88.9
2025-05-01,V1013,Brightpath Staffing,MBE,2025-04-01,0,Client 019,Healthcare,West,44682.9,87.7
2025-05-01,V1014,Continental Machine Works,DOBE,2025-04-01,0,Client 022,Finance,Northeast,12227.3,82.5
2025-05-01,V1014,Continental Machine Works,DOBE,2026-05-01,1,Client 012,Finance,Northeast,13174.23,87.3
2025-05-01,V1015,Apex Diversity Partners,SME,2025-11-17,1,Client 014,Aviation,Midwest,57422.68,82.8
2025-05-01,V1016,Silverline Logistics,MBE,2026-09-13,1,Client 021,Aviation,Northeast,31353.76,68.7
2025-05-01,V1016,Silverline Logistics,MBE,2025-06-30,1,Client 015,Aviation,Northeast,7203.0,93.4
2025-05-01,V1017,TrueNorth Manufacturing,VOB,2026-05-01,1,Client 017,Aviation,Northeast,8415.74,87.6
2025-05-01,V1017,TrueNorth Manufacturing,VOB,2026-05-01,1,Client 021,Aviation,Northeast,14247.31,92.1
2025-05-01,V1017,TrueNorth Manufacturing,VOB,2025-11-17,1,Client 009,Aviation,Northeast,18003.42,73.2
2025-05-01,V1018,Coastal Medical Supply,MBE,2025-06-30,1,Client 019,Finance,West,35153.55,89.1
2025-05-01,V1018,Coastal Medical Supply,MBE,2025-04-01,0,Client 009,Finance,West,37278.5,86.5
2025-05-01,V1018,Coastal Medical Supply,MBE,2025-08-29,1,Client 011,Finance,West,20040.78,76.3
2025-05-01,V1020,Zenith Airparts,VOB,2026-09-13,1,Client 019,Aviation,Midwest,8623.3,85.6
2025-05-01,V1020,Zenith Airparts,VOB,2025-11-17,1,Client 020,Aviation,Midwest,11584.44,82.2
2025-05-01,V1021,Fusion Metalworks,VOB,2025-11-17,1,Client 011,Aviation,Northeast,29196.85,82.8
2025-05-01,V1021,Fusion Metalworks,VOB,2025-06-30,1,Client 006,Aviation,Northeast,7409.96,81.6
2025-05-01,V1022,Beacon Financial Services,SME,2026-05-01,1,Client 011,Aviation,Southeast,10879.55,92.0
2025-05-01,V1022,Beacon Financial Services,SME,2026-09-13,1,Client 009,Aviation,Southeast,39590.47,71.9
2025-05-01,V1024,Momentum Facility Services,SME,2026-09-13,1,Client 007,Finance,Southeast,20497.07,70.8
2025-05-01,V1024,Momentum Facility Services,SME,2025-11-17,1,Client 003,Finance,Southeast,42727.24,86.4
2025-05-01,V1024,Momentum Facility Services,SME,2025-11-17,1,Client 008,Finance,Southeast,74778.99,85.9
2025-05-01,V1025,Crestline Consulting,MBE,2025-11-17,1,Client 023,Healthcare,Southeast,27397.75,86.7
2025-05-01,V1026,Waypoint Logistics,VOB,2025-04-01,0,Client 015,Finance,West,22843.9,100.0
2025-05-01,V1026,Waypoint Logistics,VOB,2025-08-29,1,Client 001,Finance,West,39368.39,86.5
2025-05-01,V1027,Northgate Industrial,MBE,2026-05-01,1,Client 008,Finance,Southeast,18061.11,77.1
2025-05-01,V1027,Northgate Industrial,MBE,2025-08-29,1,Client 010,Finance,Southeast,15300.26,100.0
2025-05-01,V1027,Northgate Industrial,MBE,2025-11-17,1,Client 022,Finance,Southeast,24101.37,83.7
2025-05-01,V1028,Argus Health Products,WBE,2026-05-01,1,Client 014,Manufacturing,West,12078.63,91.8
2025-05-01,V1028,Argus Health Products,WBE,2025-08-29,1,Client 024,Manufacturing,West,5406.51,74.6
2025-05-01,V1029,Pioneer Fabricators,DOBE,2025-08-29,1,Client 009,Finance,Southeast,4268.42,82.9
2025-05-01,V1029,Pioneer Fabricators,DOBE,2025-06-30,1,Client 010,Finance,Southeast,13955.81,82.8
2025-06-01,V1000,Summit Supply Co,MBE,2025-05-02,0,Client 011,Finance,Northeast,28760.03,83.7
2025-06-01,V1001,Vertex Industrial,WBE,2025-12-18,1,Client 006,Aviation,Southeast,51333.46,94.0
2025-06-01,V1001,Vertex Industrial,WBE,2025-09-29,1,Client 007,Aviation,Southeast,7139.52,89.1
2025-06-01,V1001,Vertex Industrial,WBE,2026-10-14,1,Client 024,Aviation,Southeast,13705.81,76.1
2025-06-01,V1002,BlueRiver Logistics,MBE,2025-07-31,1,Client 020,Healthcare,Southwest,16808.6,86.3
2025-06-01,V1002,BlueRiver Logistics,MBE,2025-09-29,1,Client 010,Healthcare,Southwest,16971.86,84.8
2025-06-01,V1002,BlueRiver Logistics,MBE,2025-07-31,1,Client 004,Healthcare,Southwest,15427.04,86.2
